id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Phytopythium	g__Phytopythium	1.4826788376187598	g__Phytopythium	0.6748	red	-0.258	-0.646	-0.204	-0.423	-0.521	0.367	0.14	-0.359	0.34	-0.3
g__Pinnularia	g__Pinnularia	0.33186259714449895	g__Pinnularia	0.5058	red	-0.377	-0.309	-0.262	-0.634	-0.572	0.295	0.196	-0.387	0.392	-0.254
g__Pisolithus	g__Pisolithus	4.29970032604068	g__Pisolithus	0.6844	red	-0.347	-0.51	-0.123	-0.4	-0.293	0.33	0.21	-0.364	0.563	-0.112
g__Planosiphon	g__Planosiphon	2.09427455481512	g__Planosiphon	0.6421	red	-0.523	-0.435	-0.137	-0.504	-0.449	0.171	-0.0067	-0.323	0.43	-0.078
g__Porphyra	g__Porphyra	2.6642545271663196	g__Porphyra	0.4266	red	-0.31	-0.356	-0.0532	-0.24	-0.177	0.208	0.212	-0.327	0.426	0.0485
g__Prevotella	g__Prevotella	0.8155811886490859	g__Prevotella	0.6141	red	-0.337	-0.559	-0.0966	-0.391	-0.351	0.295	0.167	-0.375	0.449	-0.189
g__Protaphorura	g__Protaphorura	1.2766445669181201	g__Protaphorura	0.4462	red	-0.303	-0.358	-0.0689	-0.227	-0.177	0.161	-0.0067	-0.24	0.401	-0.146
g__Proteocatella	g__Proteocatella	0.62643692947182	g__Proteocatella	0.4507	red	-0.268	-0.433	-0.0621	-0.287	-0.219	0.25	0.316	-0.361	0.47	-0.114
g__Pseudarcicella	g__Pseudarcicella	3.84200526952203	g__Pseudarcicella	0.6609	red	-0.512	-0.53	-0.157	-0.401	-0.312	0.298	0.12	-0.419	0.558	0.0782
g__Pseudarcobacter	g__Pseudarcobacter	4.6822878457617	g__Pseudarcobacter	0.8863	red	-0.347	-0.867	-0.113	-0.522	-0.473	0.5	0.207	-0.535	0.644	-0.292
g__Pseudohongiella	g__Pseudohongiella	1.11190592056503	g__Pseudohongiella	0.5956	red	-0.336	-0.56	-0.156	-0.393	-0.434	0.571	0.375	-0.433	0.287	-0.315
g__Pseudo-nitzschia	g__Pseudo-nitzschia	0.745159279417779	g__Pseudo-nitzschia	0.6006	red	-0.342	-0.423	-0.0744	-0.382	-0.394	0.268	0.236	-0.419	0.336	-0.336
g__Psychrobacter	g__Psychrobacter	2.17666297794644	g__Psychrobacter	0.448	red	0.0337	-0.52	-0.0119	-0.105	-0.236	0.255	-0.0607	-0.125	0.21	-0.235
g__Pteraster	g__Pteraster	3.7163397713332404	g__Pteraster	0.4924	red	0.0237	-0.552	-0.0255	-0.182	-0.263	0.348	0.134	-0.293	0.251	-0.27
g__Pterosiphonia	g__Pterosiphonia	2.18169645221757	g__Pterosiphonia	0.4734	red	-0.241	-0.475	-0.0268	-0.0902	-0.104	0.32	0.324	-0.266	0.442	0.0722
g__Rathkea	g__Rathkea	3.0794111876768304	g__Rathkea	0.6047	red	-0.494	-0.388	-0.114	-0.463	-0.374	0.233	0.085	-0.346	0.474	0.0949
g__Rauschoides	g__Rauschoides	2.94074830500036	g__Rauschoides	0.442	red	-0.306	-0.372	-0.0572	-0.24	-0.179	0.219	0.134	-0.33	0.432	-0.0601
g__Reticulidia	g__Reticulidia	2.13657022678756	g__Reticulidia	0.6366	red	-0.119	-0.681	-0.0772	-0.0521	-0.19	0.315	0.132	-0.289	0.428	-0.265
g__Reyranella	g__Reyranella	0.254494289597591	g__Reyranella	0.4596	red	0.123	-0.442	-0.149	-0.0733	-0.12	0.196	-0.0104	-0.23	0.348	-0.249
g__Rhizobacter	g__Rhizobacter	2.37718081451736	g__Rhizobacter	0.5595	red	-0.251	-0.547	-0.0797	-0.402	-0.267	0.259	-0.0148	-0.262	0.476	-0.121
g__Rhizoctonia	g__Rhizoctonia	0.66927886461725	g__Rhizoctonia	0.4868	red	-0.318	-0.45	-0.0842	-0.214	-0.208	0.231	0.226	-0.294	0.465	-0.0096
g__Rhodoferax	g__Rhodoferax	1.8814388184960902	g__Rhodoferax	0.7019	red	-0.126	-0.768	-0.101	-0.217	-0.174	0.373	0.14	-0.287	0.549	-0.194
g__Sarcophyton	g__Sarcophyton	3.5745486957701598	g__Sarcophyton	0.585	red	0.0061	-0.563	-0.0399	-0.199	-0.295	0.342	0.122	-0.327	0.265	-0.345
g__Scytosiphon	g__Scytosiphon	0.7533348331253772	g__Scytosiphon	0.5704	red	-0.291	-0.615	-0.186	-0.582	-0.449	0.28	0.164	-0.44	0.442	-0.158
g__Sediminibacterium	g__Sediminibacterium	3.56484074571629	g__Sediminibacterium	0.743	red	-0.343	-0.658	-0.154	-0.315	-0.318	0.303	0.0977	-0.37	0.509	-0.12
g__Segmentina	g__Segmentina	3.30491622031623	g__Segmentina	0.5243	red	-0.0571	-0.445	-0.0471	-0.182	-0.265	0.405	0.104	-0.1	0.154	-0.297
g__Sellaphora	g__Sellaphora	0.501460395092598	g__Sellaphora	0.5251	red	-0.486	-0.241	-0.193	-0.412	-0.353	0.0651	0.124	-0.214	0.264	-0.135
g__Simulium	g__Simulium	1.43024477079896	g__Simulium	0.6207	red	-0.389	-0.592	-0.0074	-0.364	-0.306	0.398	0.215	-0.416	0.587	-0.217
g__Skeletonema	g__Skeletonema	1.49402763552939	g__Skeletonema	0.5648	red	-0.378	-0.452	-0.418	-0.36	-0.409	0.267	0.18	-0.36	0.387	-0.0632
g__Solitalea	g__Solitalea	3.24227128812785	g__Solitalea	0.6636	red	-0.451	-0.537	-0.148	-0.45	-0.297	0.327	0.169	-0.421	0.548	-0.0943
g__Sollasella	g__Sollasella	4.849855976662759	g__Sollasella	0.5894	red	-0.392	-0.543	-0.0995	-0.412	-0.34	0.377	0.178	-0.34	0.54	-0.0974
g__Spongilla	g__Spongilla	1.3828505019068	g__Spongilla	0.4908	red	-0.291	-0.473	-0.0595	-0.336	-0.233	0.351	0.112	-0.323	0.515	0.0449
