id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Neoconidiobolus	g__Neoconidiobolus	1.67759217904152	g__Neoconidiobolus	0.5281	magenta	0.0354	0.0962	-0.0243	-0.167	-0.205	0.0332	-0.0202	-0.0824	-0.0472	-0.132
g__Neoparamoeba	g__Neoparamoeba	0.399702207618569	g__Neoparamoeba	0.3483	magenta	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Nocturama	g__Nocturama	12.3218173766259	g__Nocturama	0.7398	magenta	-0.085	-0.0751	-0.0052	-0.202	-0.0508	0.0248	-0.0828	-0.104	-0.0385	-0.164
g__norank_f__Beijerinckiaceae	g__norank_f__Beijerinckiaceae	14.3575562601437	g__norank_f__Beijerinckiaceae	0.7564	magenta	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__norank_o__Dadabacteriales	g__norank_o__Dadabacteriales	9.258524213309109	g__norank_o__Dadabacteriales	0.6988	magenta	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Paludicola	g__Paludicola	23.7850128334451	g__Paludicola	0.8244	magenta	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Parabathynellidae_gen._A_MTG-2007	g__Parabathynellidae_gen._A_MTG-2007	9.24011688828623	g__Parabathynellidae_gen._A_MTG-2007	0.7054	magenta	-0.0854	-0.179	-0.0337	-0.135	-0.0937	0.168	0.0439	-0.123	0.146	0.124
g__Pelvetia	g__Pelvetia	13.6301806127927	g__Pelvetia	0.7517	magenta	-0.0237	-0.175	-0.026	-0.0243	-0.101	0.0751	-0.0197	-0.148	0.0276	-0.163
g__Periphylla	g__Periphylla	42.521612385109	g__Periphylla	0.9091	magenta										
g__Plationus	g__Plationus	4.76491317969423	g__Plationus	0.6369	magenta	-0.221	0.207	-0.051	-0.0406	-0.0325	-0.141	-0.0384	0.148	-0.17	0.253
g__Plesiomonas	g__Plesiomonas	7.57825882049036	g__Plesiomonas	0.6792	magenta	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Probuccinum	g__Probuccinum	0.19994816343611	g__Probuccinum	0.3274	magenta	-0.0049	0.156	-0.0545	-0.0219	0.0041	-0.14	-0.0926	-0.0393	-0.193	-0.2
