id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__norank_o__Candidatus_Peribacteria	g__norank_o__Candidatus_Peribacteria	1.34035301063375	g__norank_o__Candidatus_Peribacteria	0.4973	turquoise	0.26	0.284	0.412	0.416	0.495	-0.191	-0.096	0.2	-0.286	0.14
g__norank_o__CCD24	g__norank_o__CCD24	18.546628310985398	g__norank_o__CCD24	0.8752	turquoise	0.183	0.0937	-0.043	0.0254	0.244	-0.104	-0.0771	0.0413	-0.0438	0.0779
g__norank_o__CCM19a	g__norank_o__CCM19a	6.08314917820009	g__norank_o__CCM19a	0.7236	turquoise	0.0087	0.183	-0.0692	0.0769	0.139	-0.0715	0.0014	-0.0836	-0.0328	0.187
g__norank_o__Chitinophagales	g__norank_o__Chitinophagales	2.97329859657649	g__norank_o__Chitinophagales	0.6305	turquoise	-0.0783	-0.0791	0.111	-0.172	-0.122	0.103	0.0695	-0.117	0.242	-0.115
g__norank_o__JG36-GS-52	g__norank_o__JG36-GS-52	5.187279025893799	g__norank_o__JG36-GS-52	0.7071	turquoise	-0.135	-0.156	-0.0533	-0.119	-0.0223	0.0312	0.271	-0.211	0.322	0.0186
g__norank_o__KF-JG30-C25	g__norank_o__KF-JG30-C25	6.1657951321261	g__norank_o__KF-JG30-C25	0.7224	turquoise	-0.0811	0.164	-0.0365	-0.0372	-0.032	-0.182	0.0231	-0.0213	-0.175	-0.147
g__norank_o__mle1-27	g__norank_o__mle1-27	0.241725481573623	g__norank_o__mle1-27	0.3421	turquoise	0.117	-0.147	-0.0681	-0.0593	-0.191	0.233	0.14	-0.0346	0.0515	-0.253
g__norank_o__PLTA13	g__norank_o__PLTA13	6.291814466199571	g__norank_o__PLTA13	0.7456	turquoise	0.107	0.0895	-0.0791	-0.0444	0.0576	-0.104	-0.0114	-0.106	0.064	0.0713
g__norank_o__R7C24	g__norank_o__R7C24	15.121214052480099	g__norank_o__R7C24	0.8517	turquoise	0.245	0.0254	-0.0601	-0.0585	0.0756	0.007	0.137	-0.0694	0.09	0.0888
g__norank_o__RBG-13-54-9	g__norank_o__RBG-13-54-9	1.7468228588005803	g__norank_o__RBG-13-54-9	0.3937	turquoise	0.419	0.626	0.11	0.275	0.319	-0.165	0.0563	0.259	-0.531	-0.0579
g__norank_o__S085	g__norank_o__S085	0.9230637092705609	g__norank_o__S085	0.4634	turquoise	0.0823	-0.234	-0.0731	-0.0383	-0.0083	0.104	0.045	-0.197	0.134	-0.181
g__norank_o__SJA-15	g__norank_o__SJA-15	0.941290812968563	g__norank_o__SJA-15	0.4277	turquoise	0.116	0.214	-0.0178	0.0708	0.305	-0.143	-0.109	0.11	-0.0797	0.295
g__norank_o__Subgroup_17	g__norank_o__Subgroup_17	3.60877553916762	g__norank_o__Subgroup_17	0.6654	turquoise	0.182	0.122	-0.086	-0.0131	0.0007	-0.0506	-0.136	0.0571	-0.0649	-0.0397
g__norank_o__Subgroup_7	g__norank_o__Subgroup_7	5.17435365281741	g__norank_o__Subgroup_7	0.7079	turquoise	0.129	0.201	-0.077	-0.036	0.0349	-0.168	-0.086	-0.109	0.018	0.0863
g__norank_o__Syntrophales	g__norank_o__Syntrophales	3.2570401538167	g__norank_o__Syntrophales	0.5965	turquoise	0.0295	0.0	-0.0403	0.077	0.3	-0.0072	0.0761	-0.0058	0.0392	0.0958
g__norank_o__WCHB1-41	g__norank_o__WCHB1-41	9.10952551962637	g__norank_o__WCHB1-41	0.7493	turquoise	0.495	0.127	-0.0464	0.186	0.0942	-0.141	-0.215	0.0534	-0.0743	-0.085
