id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Rhodococcus	g__Rhodococcus	0.13597533706911	g__Rhodococcus	0.3086	brown	0.127	-0.144	-0.0656	-0.0255	-0.0841	0.134	-0.0246	-0.171	0.157	-0.0681
g__Rhodotorula	g__Rhodotorula	0.567589529000621	g__Rhodotorula	0.4029	brown	-0.362	-0.434	-0.0884	-0.38	-0.364	0.21	-0.0122	-0.323	0.386	-0.0542
g__Ripella	g__Ripella	0.900579695967742	g__Ripella	0.445	brown	0.145	0.0232	0.108	-0.0838	-0.0273	-0.133	-0.0666	-0.13	0.0096	-0.157
g__Rudanella	g__Rudanella	5.41826223004115	g__Rudanella	0.5622	brown	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Sarocladium	g__Sarocladium	18.9767312772012	g__Sarocladium	0.7662	brown	-0.0615	-0.152	-0.0343	-0.116	-0.115	0.0295	-0.0215	-0.0993	0.135	-0.105
g__Shiraia	g__Shiraia	2.8196723115023303	g__Shiraia	0.5558	brown	-0.143	-0.345	-0.061	-0.238	-0.197	0.22	0.0597	-0.273	0.313	-0.0594
g__Sphingobacterium	g__Sphingobacterium	1.0408852144251899	g__Sphingobacterium	0.4721	brown	-0.201	0.0816	-0.0518	-0.168	-0.142	-0.22	-0.311	0.126	-0.0367	-0.0579
g__Sphingobium	g__Sphingobium	0.505216090170377	g__Sphingobium	0.3955	brown	-0.094	-0.394	-0.0789	-0.245	-0.232	0.243	0.108	-0.321	0.267	-0.207
g__Sporisorium	g__Sporisorium	1.10430406666977	g__Sporisorium	0.4696	brown	0.161	0.236	-0.0831	0.237	0.347	0.0405	0.0893	0.35	-0.4	-0.0479
g__Sporobolomyces	g__Sporobolomyces	1.4747141396759	g__Sporobolomyces	0.4876	brown	-0.111	-0.471	-0.0428	-0.179	-0.231	0.177	0.0477	-0.111	0.27	-0.184
g__Stenotrophobacter	g__Stenotrophobacter	0.22439797070835898	g__Stenotrophobacter	0.3545	brown	0.143	-0.0503	-0.0627	0.0157	0.166	-0.0265	0.046	-0.04	0.0757	-0.023
g__Stenotrophomonas	g__Stenotrophomonas	0.637330424914215	g__Stenotrophomonas	0.3961	brown	0.166	0.238	0.0905	0.202	0.156	-0.213	-0.368	0.234	-0.136	0.191
g__Stephanopyxis	g__Stephanopyxis	0.5742993812813979	g__Stephanopyxis	0.4174	brown	0.146	0.34	0.23	-0.062	-0.0629	-0.316	-0.137	-0.143	-0.0441	0.0592
g__Stictyosiphon	g__Stictyosiphon	1.1686715963711	g__Stictyosiphon	0.4615	brown	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Streptomyces	g__Streptomyces	5.29621172409509	g__Streptomyces	0.6238	brown	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Synchytrium	g__Synchytrium	0.11154441910091	g__Synchytrium	0.3023	brown	0.0736	-0.29	-0.0802	-0.208	-0.23	0.0184	0.0412	-0.179	0.157	-0.25
g__Tedania	g__Tedania	0.13092815928853999	g__Tedania	0.3113	brown	0.0866	0.0826	-0.0581	0.0046	0.123	-0.149	-0.0093	0.0626	-0.305	-0.18
g__Tetracladium	g__Tetracladium	0.257413093110893	g__Tetracladium	0.3117	brown	-0.16	-0.224	-0.091	-0.212	-0.215	0.103	0.0886	-0.327	0.201	-0.111
g__Thoracosphaera	g__Thoracosphaera	10.053569135902	g__Thoracosphaera	0.6874	brown	0.0552	0.0845	-0.0228	0.19	0.205	-0.0448	0.0192	0.394	-0.472	-0.118
g__Tryblionella	g__Tryblionella	0.227978386806035	g__Tryblionella	0.3261	brown	-0.13	-0.486	-0.0527	-0.301	-0.358	0.28	0.105	-0.424	0.327	-0.347
g__Verticiella	g__Verticiella	13.0262270228166	g__Verticiella	0.713	brown	0.0596	-0.0469	-0.0521	0.0637	0.0316	-0.218	-0.0674	0.119	0.0916	-0.0862
g__Volvulina	g__Volvulina	2.4273378862251898	g__Volvulina	0.5438	brown										
g__Xerocomus	g__Xerocomus	0.33112403914536	g__Xerocomus	0.3757	brown	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Xestospongia	g__Xestospongia	0.51589554794499	g__Xestospongia	0.4034	brown	-0.343	-0.239	-0.117	0.052	0.169	0.16	0.218	-0.133	0.416	0.422
g__Xingyurella	g__Xingyurella	1.8239124659025499	g__Xingyurella	0.4936	brown	0.08	0.232	0.0226	-0.065	-0.0895	-0.178	-0.175	0.0076	-0.135	0.0463
