id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Thuretia	g__Thuretia	3.58535460819615	g__Thuretia	0.6361	greenyellow	-0.0844	-0.239	-0.0372	-0.173	-0.131	0.129	0.2	-0.18	0.211	-0.0652
g__Velkovrhia	g__Velkovrhia	7.86527684242726	g__Velkovrhia	0.7341	greenyellow	-0.119	-0.0903	-0.062	-0.111	-0.0894	0.0681	-0.039	-0.0616	-0.113	-0.118
g__Vimineoleathesia	g__Vimineoleathesia	9.17711471652664	g__Vimineoleathesia	0.7446	greenyellow	-0.152	0.19	-0.0564	-0.0417	-0.0365	-0.0577	0.0104	-0.132	0.0308	0.283
s__Liobagrus_nigricauda	s__Liobagrus_nigricauda	11.2990204056235	s__Liobagrus_nigricauda	0.7705	greenyellow	-0.159	-0.0651	-0.0435	-0.12	-0.0738	0.119	0.0302	-0.156	0.218	0.0882
s__Tachysurus_vachellii	s__Tachysurus_vachellii	0.588066659259262	s__Tachysurus_vachellii	0.4628	greenyellow	-0.278	-0.356	-0.0321	-0.358	-0.333	0.205	-0.0546	-0.233	0.31	0.0288
g__Pseudanabaena_NgrPSln22	g__Pseudanabaena_NgrPSln22	0.6203569741979711	g__Pseudanabaena_NgrPSln22	0.457	greenyellow										
g__Ballia	g__Ballia	51.2401602872957	g__Ballia	0.9903	greenyellow										
g__Pantoneura	g__Pantoneura	51.2401602872957	g__Pantoneura	0.9903	greenyellow										
g__Gymnogongrus	g__Gymnogongrus	51.2401602872957	g__Gymnogongrus	0.9903	greenyellow										
g__Acrodiscus	g__Acrodiscus	22.0254581733457	g__Acrodiscus	0.8666	greenyellow										
g__Lesleigha	g__Lesleigha	51.2401602872957	g__Lesleigha	0.9903	greenyellow										
g__Pylaiella	g__Pylaiella	11.9981051754372	g__Pylaiella	0.7861	greenyellow										
g__Gymnodinium	g__Gymnodinium	11.7454349425684	g__Gymnodinium	0.7586	greenyellow										
g__MWH-Ta3	g__MWH-Ta3	51.2401602872957	g__MWH-Ta3	0.9903	greenyellow										
g__norank_f__Z4MB62	g__norank_f__Z4MB62	51.2401602872957	g__norank_f__Z4MB62	0.9903	greenyellow										
g__Aneurinibacillus	g__Aneurinibacillus	51.2401602872957	g__Aneurinibacillus	0.9903	greenyellow										
g__norank_o__RF39	g__norank_o__RF39	51.2401602872957	g__norank_o__RF39	0.9903	greenyellow										
g__Thermicanus	g__Thermicanus	51.2401602872957	g__Thermicanus	0.9903	greenyellow										
g__Clostridium_sensu_stricto_6	g__Clostridium_sensu_stricto_6	51.2401602872957	g__Clostridium_sensu_stricto_6	0.9903	greenyellow										
g__Syntrophomonas	g__Syntrophomonas	51.2401602872957	g__Syntrophomonas	0.9903	greenyellow										
g__norank_o__Candidatus_Falkowbacteria	g__norank_o__Candidatus_Falkowbacteria	51.2401602872957	g__norank_o__Candidatus_Falkowbacteria	0.9903	greenyellow										
g__norank_o__Candidatus_Abawacabacteria	g__norank_o__Candidatus_Abawacabacteria	51.2401602872957	g__norank_o__Candidatus_Abawacabacteria	0.9903	greenyellow										
g__Methylobacillus	g__Methylobacillus	4.67537289936804	g__Methylobacillus	0.6312	greenyellow										
g__Chujaibacter	g__Chujaibacter	51.2401602872957	g__Chujaibacter	0.9903	greenyellow										
s__Hemibarbus_barbus	s__Hemibarbus_barbus	51.2401602872957	s__Hemibarbus_barbus	0.9903	greenyellow										
s__Hemibarbus_labeo	s__Hemibarbus_labeo	23.6990442226056	s__Hemibarbus_labeo	0.8893	greenyellow										
s__Hemibarbus_longirostris	s__Hemibarbus_longirostris	51.2401602872957	s__Hemibarbus_longirostris	0.9903	greenyellow										
s__Hemibarbus_maculatus	s__Hemibarbus_maculatus	5.82998750784418	s__Hemibarbus_maculatus	0.6907	greenyellow										
s__Bostrychus_sinensis	s__Bostrychus_sinensis	3.7707284448083103	s__Bostrychus_sinensis	0.6057	greenyellow										
s__Periophthalmus_argentilineatus	s__Periophthalmus_argentilineatus	7.80529160950708	s__Periophthalmus_argentilineatus	0.7219	greenyellow										
s__Pseudogobius_javanicus	s__Pseudogobius_javanicus	5.957662418012051	s__Pseudogobius_javanicus	0.678	greenyellow										
g__Phlebia	g__Phlebia	12.519017187948801	g__Phlebia	0.7745	greenyellow										
g__Melanopsichium	g__Melanopsichium	0.654697040178422	g__Melanopsichium	0.4249	greenyellow										
