id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__norank_f__Fibrobacteraceae	g__norank_f__Fibrobacteraceae	5.46191119602844	g__norank_f__Fibrobacteraceae	0.6541	pink										
g__norank_f__Ruminococcaceae	g__norank_f__Ruminococcaceae	66.276518033487	g__norank_f__Ruminococcaceae	0.9954	pink										
g__Hydrogenoanaerobacterium	g__Hydrogenoanaerobacterium	66.276518033487	g__Hydrogenoanaerobacterium	0.9954	pink										
g__norank_f__Acidaminococcaceae	g__norank_f__Acidaminococcaceae	3.2281895569026697	g__norank_f__Acidaminococcaceae	0.5769	pink										
g__Anaerovibrio	g__Anaerovibrio	66.276518033487	g__Anaerovibrio	0.9954	pink										
g__norank_f__Latescibacteraceae	g__norank_f__Latescibacteraceae	27.523888387432198	g__norank_f__Latescibacteraceae	0.8612	pink										
g__Sorangium	g__Sorangium	66.276518033487	g__Sorangium	0.9954	pink										
g__norank_c__4-29-1	g__norank_c__4-29-1	22.430496774558897	g__norank_c__4-29-1	0.8301	pink										
g__norank_f__CPla-3_termite_group	g__norank_f__CPla-3_termite_group	11.2693983045717	g__norank_f__CPla-3_termite_group	0.7266	pink										
g__Tepidisphaera	g__Tepidisphaera	66.276518033487	g__Tepidisphaera	0.9954	pink										
g__norank_o__NRL2	g__norank_o__NRL2	66.276518033487	g__norank_o__NRL2	0.9954	pink										
g__Rhodomicrobium	g__Rhodomicrobium	66.276518033487	g__Rhodomicrobium	0.9954	pink										
g__DSSD61	g__DSSD61	11.257302367249599	g__DSSD61	0.7314	pink										
g__Uliginosibacterium	g__Uliginosibacterium	66.276518033487	g__Uliginosibacterium	0.9954	pink										
g__norank_o__EC3	g__norank_o__EC3	4.96006395151247	g__norank_o__EC3	0.6457	pink										
g__norank_o__EPR3968-O8a-Bc78	g__norank_o__EPR3968-O8a-Bc78	66.276518033487	g__norank_o__EPR3968-O8a-Bc78	0.9954	pink										
g__norank_f__Thiotrichaceae	g__norank_f__Thiotrichaceae	66.276518033487	g__norank_f__Thiotrichaceae	0.9954	pink										
g__Cephaloticoccus	g__Cephaloticoccus	66.276518033487	g__Cephaloticoccus	0.9954	pink										
s__Gnathopogon_imberbis	s__Gnathopogon_imberbis	7.866749059039821	s__Gnathopogon_imberbis	0.7106	pink										
g__Antarctomyces	g__Antarctomyces	66.276518033487	g__Antarctomyces	0.9954	pink										
g__Pyricularia	g__Pyricularia	66.276518033487	g__Pyricularia	0.9954	pink										
g__Schizophyllum	g__Schizophyllum	9.577085988443061	g__Schizophyllum	0.7088	pink										
g__Turbinellus	g__Turbinellus	66.276518033487	g__Turbinellus	0.9954	pink										
g__Uranotaenia	g__Uranotaenia	66.276518033487	g__Uranotaenia	0.9954	pink										
g__Labiobaetis	g__Labiobaetis	66.276518033487	g__Labiobaetis	0.9954	pink										
g__Lestinogomphus	g__Lestinogomphus	66.276518033487	g__Lestinogomphus	0.9954	pink										
g__Isodictya	g__Isodictya	24.0974105685637	g__Isodictya	0.8409	pink										
g__Setidium	g__Setidium	66.276518033487	g__Setidium	0.9954	pink										
g__Potamilla	g__Potamilla	66.276518033487	g__Potamilla	0.9954	pink										
g__Lineus	g__Lineus	66.276518033487	g__Lineus	0.9954	pink										
g__Caryophyllia	g__Caryophyllia	32.9803207204768	g__Caryophyllia	0.8907	pink										
g__Sesarmoides	g__Sesarmoides	66.276518033487	g__Sesarmoides	0.9954	pink										
g__Glomeris	g__Glomeris	40.3934505740218	g__Glomeris	0.9247	pink										
g__Brachoria	g__Brachoria	11.2693983045717	g__Brachoria	0.7266	pink										
g__Cyphastrea	g__Cyphastrea	66.276518033487	g__Cyphastrea	0.9954	pink										
g__Fasciola	g__Fasciola	66.276518033487	g__Fasciola	0.9954	pink										
g__Nitor	g__Nitor	57.072737734148205	g__Nitor	0.975	pink										
g__Stanisicarion	g__Stanisicarion	66.276518033487	g__Stanisicarion	0.9954	pink										
g__Turgenitubulus	g__Turgenitubulus	8.415812884800769	g__Turgenitubulus	0.7044	pink										
g__Cepaea	g__Cepaea	39.19487170808271	g__Cepaea	0.9134	pink										
g__Catablema	g__Catablema	1.88083663041666	g__Catablema	0.5374	pink										
g__Distichopora	g__Distichopora	66.276518033487	g__Distichopora	0.9954	pink										
g__Bonneviella	g__Bonneviella	66.276518033487	g__Bonneviella	0.9954	pink										
g__Sugiura	g__Sugiura	66.276518033487	g__Sugiura	0.9954	pink										
g__Stereophaedusa	g__Stereophaedusa	20.2979680420866	g__Stereophaedusa	0.8154	pink										
g__Xerosecta	g__Xerosecta	66.276518033487	g__Xerosecta	0.9954	pink										
